coefficient,Estimate,mod_names,mod_inc,mod_type,crossed
Sanitation,,DPSEA.noDr,ALL,BINOMIAL,
Infection,,DPSEA.noDr,ALL,BINOMIAL,
Workforce,,DPSEA.noDr,ALL,BINOMIAL,
Vaccination,,DPSEA.noDr,ALL,BINOMIAL,
Sanitation,,aP.noDr,ALL,BINOMIAL,
Infection,,aP.noDr,ALL,BINOMIAL,
Workforce,,aP.noDr,ALL,BINOMIAL,
Vaccination,,aP.noDr,ALL,BINOMIAL,
Sanitation,,aS.noDr,ALL,BINOMIAL,
Infection,,aS.noDr,ALL,BINOMIAL,
Workforce,,aS.noDr,ALL,BINOMIAL,
Vaccination,,aS.noDr,ALL,BINOMIAL,
Sanitation,,aE.noDr,ALL,BINOMIAL,
Infection,,aE.noDr,ALL,BINOMIAL,
Workforce,,aE.noDr,ALL,BINOMIAL,
Vaccination,,aE.noDr,ALL,BINOMIAL,
Sanitation,,Dr,ALL,BINOMIAL,
Infection,,Dr,ALL,BINOMIAL,
Workforce,,Dr,ALL,BINOMIAL,
Vaccination,,Dr,ALL,BINOMIAL,
DPSE,,Dr,ALL,BINOMIAL,
DPSE,,P,ALL,BINOMIAL,
DPSE,,S,ALL,BINOMIAL,
DPSE,,E,ALL,BINOMIAL,
income,,E,ALL,BINOMIAL,
Action,,E,ALL,BINOMIAL,
General,,E,ALL,BINOMIAL,
Monitoring and Surveillance,,E,ALL,BINOMIAL,
Awareness and Education,,E,ALL,BINOMIAL,
GDP,,E,ALL,BINOMIAL,
Population Density,,E,ALL,BINOMIAL,
Gini,,E,ALL,BINOMIAL,
Animal Production,,E,ALL,BINOMIAL,
Mean Temperature,,E,ALL,BINOMIAL,
Baseline,,E,ALL,BINOMIAL,
Sanitation,,E,ALL,BINOMIAL,
Infection,,E,ALL,BINOMIAL,
Workforce,,E,ALL,BINOMIAL,
Vaccination,,E,ALL,BINOMIAL,
Gini,0.999695647993075,DPSEA,ALL,BINOMIAL,DPSE interaction
Mean Temperature,5.31490651873359e-05,DPSEA,ALL,BINOMIAL,DPSE interaction
Workforce,1.41986496749334e-06,DPSEA,ALL,BINOMIAL,DPSE interaction
General,0.0938669792682206,DPSEA,ALL,BINOMIAL,DPSE interaction
Baseline,0.989050942475535,DPSEA,ALL,BINOMIAL,DPSE interaction
Action,0.0596337360154494,DPSEA,ALL,BINOMIAL,DPSE interaction
Monitoring and Surveillance,0.188633127913007,DPSEA,ALL,BINOMIAL,
Animal Production,0.442724007713837,DPSEA,ALL,BINOMIAL,
GDP,0.0767336899876152,DPSEA,ALL,BINOMIAL,DPSE interaction
Infection,0.937811949134702,DPSEA,ALL,BINOMIAL,DPSE interaction
Population Density,0.455799808066567,DPSEA,ALL,BINOMIAL,
Sanitation,0.645622285962711,DPSEA,ALL,BINOMIAL,DPSE interaction
Awareness and Education,0.156671757304908,DPSEA,ALL,BINOMIAL,
Vaccination,0.538547731839575,DPSEA,ALL,BINOMIAL,DPSE interaction
Mean Temperature,0.122623288761332,DPSEA.noDr,ALL,BINOMIAL,DPSE interaction
Animal Production,0.736512875582446,DPSEA.noDr,ALL,BINOMIAL,DPSE interaction
Action,0.160911406115438,DPSEA.noDr,ALL,BINOMIAL,DPSE interaction
Awareness and Education,0.229842188050415,DPSEA.noDr,ALL,BINOMIAL,
General,0.253176810085761,DPSEA.noDr,ALL,BINOMIAL,DPSE interaction
Monitoring and Surveillance,0.757541670920802,DPSEA.noDr,ALL,BINOMIAL,DPSE interaction
Gini,0.615223568583146,DPSEA.noDr,ALL,BINOMIAL,DPSE interaction
Baseline,0.356931794603846,DPSEA.noDr,ALL,BINOMIAL,DPSE interaction
Population Density,0.118441808832649,DPSEA.noDr,ALL,BINOMIAL,DPSE interaction
