coefficient,Estimate,mod_names,mod_inc,mod_type,crossed
Monitoring and Surveillance,-0.328474097412666,DPSEA,HIC,CHANGE,DPSE interaction
Workforce,0.362478575066992,DPSEA,HIC,CHANGE,DPSE interaction
Infection,-0.041012561983305,DPSEA,HIC,CHANGE,DPSE interaction
Monitoring and Surveillance,-0.273460958957123,DPSEA.noDr,HIC,CHANGE,DPSE interaction
Monitoring and Surveillance,-0.282904074854241,aP.noDr,HIC,CHANGE,DPSE interaction
Workforce,0.140439889774549,aP,HIC,CHANGE,DPSE interaction
Monitoring and Surveillance,-0.3134064203,aP,HIC,CHANGE,DPSE interaction
Infection,-0.0739587022573073,aP,HIC,CHANGE,DPSE interaction
Infection,-0.0244696557082518,aS,HIC,CHANGE,DPSE interaction
Workforce,0.277210000046719,aE,HIC,CHANGE,DPSE interaction
Infection,-0.0330068074039394,aE,HIC,CHANGE,DPSE interaction
Workforce,0.114850422383017,DPS,HIC,CHANGE,DPSE interaction
Monitoring and Surveillance,-0.266189831637176,DPS,HIC,CHANGE,DPSE interaction
Infection,-0.0677817942285418,DPS,HIC,CHANGE,DPSE interaction
Workforce,0.340346432965287,PSE,HIC,CHANGE,DPSE interaction
Monitoring and Surveillance,-0.146151079402773,DP,HIC,CHANGE,DPSE interaction
Mean Temperature,-0.000259196691128897,DP,HIC,CHANGE,DPSE interaction
Workforce,0.0851406884340872,DP,HIC,CHANGE,DPSE interaction
Monitoring and Surveillance,-0.39804996471804,PS,HIC,CHANGE,DPSE interaction
Infection,-0.15316328258162,PS,HIC,CHANGE,DPSE interaction
Workforce,0.0555080710751617,PS,HIC,CHANGE,DPSE interaction
Workforce,0.479588070130505,SE,HIC,CHANGE,DPSE interaction
Infection,-0.103222596290403,SE,HIC,CHANGE,DPSE interaction
Action,-0.211645400636488,SE,HIC,CHANGE,DPSE interaction
Monitoring and Surveillance,-0.279849516646611,SE,HIC,CHANGE,DPSE interaction
Sanitation,0.0791319463624264,SE,HIC,CHANGE,DPSE interaction
Vaccination,0.127874417156618,SE,HIC,CHANGE,DPSE interaction
Baseline,0.512258668686781,DPSEA,LMIC,CHANGE,DPSE interaction
Workforce,-0.196168836541077,DPSEA,LMIC,CHANGE,DPSE interaction
Sanitation,0.0278043218542625,DPSEA,LMIC,CHANGE,DPSE interaction
Infection,-0.104443018615812,DPSEA,LMIC,CHANGE,DPSE interaction
Action,-0.0721906542585207,DPSEA,LMIC,CHANGE,DPSE interaction
Vaccination,0.0726270264772388,DPSEA,LMIC,CHANGE,DPSE interaction
Monitoring and Surveillance,-0.0525196015888118,DPSEA,LMIC,CHANGE,DPSE interaction
Baseline,0.409851819630773,DPSEA.noDr,LMIC,CHANGE,DPSE interaction
Monitoring and Surveillance,-0.15196857111957,DPSEA.noDr,LMIC,CHANGE,DPSE interaction
Baseline,0.213020506182792,aP.noDr,LMIC,CHANGE,DPSE interaction
Baseline,0.412948487576509,aS.noDr,LMIC,CHANGE,DPSE interaction
Baseline,0.170503932064055,aE.noDr,LMIC,CHANGE,DPSE interaction
Baseline,0.521921965119751,aP,LMIC,CHANGE,DPSE interaction
Baseline,0.619909149520273,aS,LMIC,CHANGE,DPSE interaction
Baseline,0.760093241768609,aE,LMIC,CHANGE,DPSE interaction
Baseline,0.508208273966476,DPS,LMIC,CHANGE,DPSE interaction
Baseline,0.50943378754211,PSE,LMIC,CHANGE,DPSE interaction
Baseline,0.602449636637801,DP,LMIC,CHANGE,DPSE interaction
Baseline,0.499921335019094,PS,LMIC,CHANGE,DPSE interaction
