name,ISO3,RESPONSE
Argentina,ARG,1.63333333333333
Australia,AUS,2.71666666666667
Austria,AUT,3.3
Bangladesh,BGD,0.566666666666667
Belarus,BLR,2.21666666666667
Belgium,BEL,3.06666666666667
Brazil,BRA,1.85
Bulgaria,BGR,1.15
Canada,CAN,1.61666666666667
Chile,CHL,1.26666666666667
China,CHN,2.56666666666667
Colombia,COL,1.35
Croatia,HRV,1.96666666666667
Cyprus,CYP,1.63333333333333
Czech Republic,CZE,2.3
Denmark,DNK,3.16666666666667
Dominican Republic,DOM,1.2
Ecuador,ECU,1.2
Egypt,EGY,0.933333333333333
Estonia,EST,1.75
Finland,FIN,2.05
France,FRA,3.23333333333333
Germany,DEU,3.33333333333333
Ghana,GHA,0.766666666666667
Greece,GRC,2.86666666666667
Hungary,HUN,1.78333333333333
Iceland,ISL,2.01666666666667
India,IND,1.65
Indonesia,IDN,1.51666666666667
Ireland,IRL,2.33333333333333
Italy,ITA,2.55
Japan,JPN,2.63333333333333
Jordan,JOR,1.1
Kazakhstan,KAZ,1.41666666666667
Latvia,LVA,2.41666666666667
Lebanon,LBN,0.75
Lithuania,LTU,1.91666666666667
Luxembourg,LUX,1.13333333333333
Malaysia,MYS,2.7
Malta,MLT,1.78333333333333
Mexico,MEX,2.4
Morocco,MAR,2.11666666666667
Netherlands,NLD,3.68333333333333
New Zealand,NZL,2.7
Norway,NOR,3.56666666666667
Pakistan,PAK,0.833333333333333
Peru,PER,1.61666666666667
Philippines,PHL,2.4
Poland,POL,1.55
Portugal,PRT,2.43333333333333
Romania,ROU,1.61666666666667
Russia,RUS,2.51666666666667
Saudi Arabia,SAU,1.88333333333333
Serbia,SRB,1.3
Singapore,SGP,2.4
Slovakia,SVK,1.91666666666667
Slovenia,SVN,2.53333333333333
South Africa,ZAF,1.98333333333333
South Korea,KOR,2.31666666666667
Spain,ESP,3.06666666666667
Sri Lanka,LKA,1.66666666666667
Sweden,SWE,3.66666666666667
Switzerland,CHE,2.65
TFYR Macedonia,MKD,1.66666666666667
Thailand,THA,1.53333333333333
Tunisia,TUN,1.61666666666667
Turkey,TUR,2.23333333333333
UAE,ARE,1.65
UK,GBR,3.53333333333333
USA,USA,2.88333333333333
Ukraine,UKR,1.2
Uruguay,URY,2
Viet Nam,VNM,1.98333333333333
